## 1.  01. 분수의 덧셈 (1)
  t0L1 l | ① 분모가 같은 분수를 더할 때 분모와 분자 중 무엇끼리 더할까?
  t0H1 h | ① 다각형이 '선분으로만 둘러싸인 도형'이라는 걸 설명해 봐.
  t0H2 h | ② 곡선이 포함된 도형은 왜 다각형이 아닌지 말해 줘.
  qrecall qrec | 다각형이 뭔지 말해 봐.
  qreason qrea | 다각형에서 변의 개수와 꼭짓점의 개수는 어떤 관계일까? 왜 그럴까?
  qexample qexa | 변이 7개인 다각형의 이름과, 그걸 어떻게 알 수 있는지 말해 봐.
  qcondition qcon | 다각형이려면 변의 길이가 모두 같아야 할까?
  qerror qerr | 친구가 원처럼 둥근 부분이 조금 섞인 도형을 보고 다각형이라고 했어. 뭐가 틀렸을까?
## 6.  02. 정다각형
  t0L1 l | ① 정다각형은 변의 길이와 각의 크기가 어떤 다각형일까?
  t0L2 l | ② 변의 길이만 같으면 정다각형이라고 할 수 있을까?
  t0H1 h | ① 정다각형이 '변의 길이가 모두 같고 각의 크기도 모두 같은 다각형'이라는 걸 설명해 봐.
  t0H2 h | ② 변의 길이는 같지만 각의 크기가 다른 도형이 정다각형이 아닌 이유를 말해 줘.
  qrecall qrec | 정다각형이 뭔지 말해 봐.
  qreason qrea | 정삼각형의 한 각이 60도인 건 어떻게 구했지? 정사각형의 한 각도 같은 방법으로 구할 수 있을까?
  qexample qexa | 변의 길이는 모두 같지만 정다각형이 아닌 도형을 하나 떠올려서 말해 봐.
  qcondition qcon | 정다각형이려면 변의 개수가 짝수여야 할까?
  qerror qerr | 친구가 네 변의 길이가 모두 같은 마름모를 보고 정다각형이라고 했어. 뭐가 틀렸을까?
## 6.  03. 대각선
  t0L1 l | ① 대각선은 어떤 두 꼭짓점을 이은 선분일까?
  t0L2 l | ② 사각형에 그을 수 있는 대각선은 몇 개일까?
  t0H1 h | ① 대각선이 '서로 이웃하지 않는 두 꼭짓점을 이은 선분'이라는 걸 설명해 봐.
  t0H2 h | ② 직사각형·마름모·정사각형의 대각선 성질(길이가 같다, 수직으로 만난다)을 말해 줘.
  qrecall qrec | 대각선이 뭔지 말해 봐.
  qreason qrea | 꼭짓점이 A, B, C, D, E 차례로 있는 오각형에서 꼭짓점 A에서 그을 수 있는 대각선을 모두 말해 봐. 선분 AB와 AE를 세지 않는 이유도 설명해 봐.
  qexample qexa | 사각형을 하나 떠올려서 대각선 2개를 어느 꼭짓점끼리 이은 건지 말해 봐.
  qcondition qcon | 모든 사각형에서 두 대각선의 길이가 항상 같을까?
  qerror qerr | 친구가 사각형의 변을 가리키며 이것도 대각선이라고 했어. 뭐가 틀렸을까?
## 6.  04. 모양 만들기, 모양 채우기
  t0L1 l | ① 여러 다각형을 이어 붙여 새로운 모양을 만들 수 있을까?
  t0L2 l | ② 같은 도형으로 빈틈없이 바닥을 채울 수 있을까?
  t0H1 h | ① 다각형 조각을 이용해 규칙적인 모양을 만들거나 채우는 방법을 설명해 봐.
  t0H2 h | ② 어떤 도형이 빈틈없이 바닥을 채울 수 있는지 그 조건을 말해 줘.
  qrecall qrec | 어떤 도형이 빈틈없이 바닥을 채울 수 있는지 말해 봐.
  qreason qrea | 왜 한 꼭짓점에 모인 각의 합이 정확히 360도여야 빈틈없이 채워질까?
  qexample qexa | 빈틈없이 바닥을 채울 수 있는 도형을 하나 말해 봐. 그 도형의 한 각은 몇 도야?
  qcondition qcon | 정오각형도 빈틈없이 바닥을 채울 수 있을까?
  qerror qerr | 친구가 정오각형 3개를 이어 붙이면 빈틈없이 채워진다고 했어. 뭐가 틀렸을까?
